NomStation,NumeroStation,En_service,MiseEnService,Rue,NoRue,Commune,LocationsEn2016,LocationsEn2019
JARDIN RAYMOND VI,81,oui,2008,ALL CHARLES DE FITTE,76Bis,Toulouse,18722,16201
BRIENNE -  MANUFACTURE,84,oui,2008,ALL DE BRIENNE,19T,Toulouse,42133,33208
PLACE DE DAMLOUP,39,oui,2008,PL DE DAMLOUP,2,Toulouse,25408,22550
DUPORTAL -  CITE ADMINISTRATIVE,52,oui,2007,BD ARMAND DUPORTAL,41,Toulouse,8475,7380
PLACE VICTOR HUGO,7,oui,2007,RUE DU REMPART VILLENEUVE,6,Toulouse,24768,18398
MINIMES -  PASSERELLE,111,oui,2008,BD DES MINIMES,38B,Toulouse,18479,18824
PLACE SAINT PIERRE,28,oui,2007,PL SAINT PIERRE,6,Toulouse,36588,60511
CARNOT  - PERI,19,oui,2007,BD LAZARE CARNOT,62,Toulouse,38234,25991
GARONNETTE,50,oui,2007,AV MAURICE HAURIOU,1,Toulouse,12036,9117
PLACE DES CARMES,46,oui,2007,PL DES CARMES,37,Toulouse,46808,37879
PLACE ESQUIROL,10,oui,2007,PL ETIENNE ESQUIROL,15,Toulouse,102470,42217
STRASBOURG  -  BAYARD,16,oui,2007,BD DE STRASBOURG,32,Toulouse,36251,36550
MUSEUM,67,oui,2008,ALL JULES GUESDE,35,Toulouse,25392,23692
SABATIER - PORT ST SAUVEUR,100,oui,2008,ALL PAUL SABATIER,16,Toulouse,20947,17777
JAURES  -  STALINGRAD,62,oui,2008,ALL JEAN JAURES,71T,Toulouse,9358,8993
PERIGORD,14,oui,2007,RUE DE PERIGORD,26,Toulouse,17684,17774
CONCORDE -  PRINTEMPS,59,oui,2008,RUE DE LA CONCORDE,61,Toulouse,22849,21215
PRINTEMPS - INGRES,93,oui,2008,RUE DU PRINTEMPS,57,Toulouse,18599,17487
ESP COMPANS CAFFARELLI,89,oui,2008,ESP COMPANS CAFFARELLI,1,Toulouse,34229,37148
SEBASTOPOL - LASCROSSES,107,oui,2008,RUE DE SEBASTOPOL,1,Toulouse,29081,16389
COURS DILLON,71,oui,2008,RUE LAGANNE,3,Toulouse,16200,12543
BARCELONE - PONT JUMEAUX,120,oui,2008,ALL DE BARCELONE,152,Toulouse,22973,15571
BILLIERES - POSTE,117,oui,2008,AV ETIENNE BILLIERES,39,Toulouse,11507,9300
JAURES -  BACHELIER,38,oui,2008,ALL JEAN JAURES,60,Toulouse,20931,20986
ST MICHEL -  NOTRE DAME,116,oui,2008,GRANDE-RUE SAINT MICHEL,50,Toulouse,19568,20282
DEMOISELLES - BEGUE,127,oui,2008,RUE BEGUE DAVID,1,Toulouse,13516,11646
COUTELIERS -  METZ,49,oui,2008,RUE DES COUTELIERS,52,Toulouse,28850,25385
BRUNHES FONTAINES,137,oui,2008,BD JEAN BRUNHES,55,Toulouse,16870,14070
EMILE MALE,140,oui,2008,PL EMILE MALE,4,Toulouse,23258,18644
GOUNOD GARROS,145,oui,2008,RUE CHARLES GOUNOD,27,Toulouse,23324,22036
ITALIE,162,oui,2008,AV D ITALIE,49,Toulouse,5806,6685
LAPUJADE FLANDRES,167,oui,2008,CHE DE LAPUJADE,98,Toulouse,8048,9316
LEDUC,5,oui,2008,RUE RENE LEDUC,5,Toulouse,24420,30150
MICHOUN LIPPMAN,184,oui,2008,CHE MICHOUN,70,Toulouse,2524,1814
FIRMIS,210,oui,2008,CHE DE LA TERRASSE,42,Toulouse,1024,1411
LE DORMEUR LA TERRASSE,211,oui,2008,RUE LE DORMEUR,9,Toulouse,1156,1501
ALBI PELET,171,oui,2008,RTE D ALBI,191,Toulouse,2919,2687
PUCCINI BLAGNAC,219,oui,2008,RUE GIACOMO PUCCINI,35,Toulouse,4778,3126
NARBONNE MIROUSE,232,oui,2008,RTE DE NARBONNE,64,Toulouse,11081,7759
METRO RANGUEIL,166,oui,2008,RUE EMILE GUYOU,0,Toulouse,18542,15562
ETATS UNIS  CHARLAS,253,oui,2008,AV DES ETATS UNIS,75,Toulouse,2464,2176
BELIN ONERA,225,oui,2008,AV EDOUARD BELIN,4,Toulouse,13980,8753
BELIN C.N.R.S.,237,oui,2008,AV EDOUARD BELIN,16,Toulouse,7144,7176
ESPAGNE CHARPENTIER,241,oui,2008,RTE D ESPAGNE,57,Toulouse,9016,6900
DUCLOS,260,oui,2013,RUE LEONCE DUCLOS,1,Toulouse,1929,2168
VASSEUR,272,oui,2014,RUE ANDRE VASSEUR,1,Toulouse,3452,3495
CHÂTEAU DE L'HERS,257,oui,2013,CHE DU CHATEAU DE L HERS,1,Toulouse,1357,972
CASTRES (projet),0,non,0,AV DE CASTRES,1,Toulouse,0,0
TOURAINE,266,oui,2013,RUE DE LA TOURAINE,1,Toulouse,2324,3288
BORDELONGUE,265,oui,2013,PAS DU CANAL DE BORDELONGUE,1,Toulouse,1242,2051
ZAMENHOF,277,oui,2013,ALL DU DR LEJZER L ZAMENHOF,1,Toulouse,1275,720
MARIN,276,oui,2013,CHE DU MARIN,1,Toulouse,1518,1959
ANCELY,271,oui,2013,AV DES ARENES ROMAINES,110,Toulouse,3887,4789
MONUMENT AUX COMBATTANTS,23,oui,2007,BD LAZARE CARNOT,6,Toulouse,31390,26526
PLACE SAINT ETIENNE,24,oui,2007,PL SAINT ETIENNE,14,Toulouse,23228,21720
PLACE ROUAIX,25,oui,2007,RUE DES TOURNEURS,1,Toulouse,42992,47470
PLACE DE LA DAURADE,11,oui,2007,PL DE LA DAURADE,2,Toulouse,63191,43294
OZENNE - NAZARETH,45,oui,2007,RUE THEODORE OZENNE,10,Toulouse,25064,17558
PLACE ANATOLE FRANCE,30,oui,2007,PL ANATOLE FRANCE,40,Toulouse,36074,24804
PLACE SCHUMAN,36,oui,2008,PL ROBERT SCHUMAN,5,Toulouse,33670,42546
STRASBOURG  - SARDANE,17,oui,2007,BD DE STRASBOURG,7,Toulouse,25938,21774
PONT DES DEMOISELLES,98,oui,2008,ALL DES DEMOISELLES,80,Toulouse,24582,21660
DALBADE - DE GORSSE,26,oui,2007,RUE HENRY DE GORSSE,9,Toulouse,24693,20067
NAZARETH -  LANGUEDOC,47,oui,2007,RUE DU LANGUEDOC,12,Toulouse,15877,16113
PARGAMINIERES,12,oui,2007,RUE PARGAMINIERES,66,Toulouse,37858,28159
EMBOUCHURE -  HAEDENS,122,oui,2008,BD DE L EMBOUCHURE,57,Toulouse,13678,11140
MINIMES - BAQUE,132,oui,2008,AV DES MINIMES,101,Toulouse,9271,11018
MUSEUM  -  DUMERIL,113,oui,2008,RUE ALFRED DUMERIL,58,Toulouse,23970,17101
METZ  - REMPART ST ETIENNE,99,oui,2008,RUE DU REMPART ST ETIENNE,5,Toulouse,19637,17199
SERRES -  CABANEL,110,oui,2008,RUE ALEXANDRE CABANEL,16,Toulouse,12388,12824
SAINTE LUCIE,37,oui,2008,RUE SAINTE LUCIE,38,Toulouse,11609,9000
CURIE NEGRENEYS,151,oui,2008,BD PIERRE ET MARIE CURIE,27,Toulouse,10087,9948
RAISIN,149,oui,2008,CHE DU RAISIN,2,Toulouse,18207,16555
URSS RECOLLETS,157,oui,2008,AV DE L URSS,16B,Toulouse,10628,9047
URSS ST THOMAS D AQUIN,158,oui,2008,AV DE L URSS,55,Toulouse,22045,20273
THEATRE JULES JULIEN,160,oui,2008,AV DES ECOLES JULES JULIEN,21,Toulouse,8627,7135
AVIONS LIBELLULES,165,oui,2008,AV DES AVIONS,35,Toulouse,3010,3023
GENERAL COMPANS,176,oui,2008,RUE DU GEN JEAN COMPANS,1,Toulouse,13172,15929
BAILLAUD BRUNAUD,177,oui,2008,RUE BENJAMIN BAILLAUD,64,Toulouse,1396,2389
BARRIERE DE BAYONNE,138,oui,2008,BRE DE BAYONNE,2,Toulouse,17457,16800
DESBALS MONT DORE,187,oui,2008,RUE HENRI DESBALS,187,Toulouse,4897,6870
OUSTALOUS,190,oui,2008,RTE D ESPAGNE,39,Toulouse,6108,9345
ST SIMON PRADO,192,oui,2008,RTE DE SAINT SIMON,355,Toulouse,3338,3392
LAROUSSE RIEUX,195,oui,2008,AV JEAN RIEUX,4,Toulouse,17251,17169
CASERNE PERIGNON,197,oui,2008,AV LOUIS BLERIOT,6,Toulouse,3279,8551
METRO ARGOULETS,215,oui,2008,RUE DE GAILLAC,8,Toulouse,7379,5246
TABAR UNIVERSITE,220,oui,2008,RUE UNIVERSITE DU MIRAIL,3,Toulouse,4645,4623
RANGUEIL TRIPODE B,230,oui,2008,AV DE RANGUEIL,141,Toulouse,11427,8615
CROIX DAURADE BIBLIOTHEQUE,170,oui,2008,CHE DE NICOL,164,Toulouse,3742,3947
TOEC ABBE LEMIRE,236,oui,2008,RUE DE L ABBE JULES LEMIRE,1,Toulouse,3724,4314
JOB BLAGNAC,240,oui,2008,RTE DE BLAGNAC,112,Toulouse,8963,8453
RENAN VITRY,244,oui,2008,RUE ERNEST RENAN,93,Toulouse,2773,2793
CURIE CAMPISTRON,150,oui,2008,BD PIERRE ET MARIE CURIE,88,Toulouse,4176,6145
PORT SAINT SAUVEUR,15,oui,2008,PORT SAINT SAUVEUR,22,Toulouse,11525,9564
NARBONNE IUFM,231,oui,2008,RTE DE NARBONNE,217,Toulouse,10661,8033
LAFOURGUETTE,264,oui,2013,PL DES GLIERES,1,Toulouse,1905,1611
PLACE SAUVEGRAIN,269,oui,2013,PL JACQUES SAUVEGRAIN,1,Toulouse,2963,2083
BAYLAC,268,oui,2014,AV DES ARENES ROMAINES,1,Toulouse,4874,6159
ARÈNES ROMAINES,278,oui,2013,AV DES ARENES ROMAINES,1,Toulouse,3942,3785
